concept_id,domain,category,difficulty,situation,purpose,korean,english,japanese,chinese,spanish,korean_word,english_word,japanese_word,chinese_word,spanish_word
food_apple_fruit,food,fruit,basic,"casual,home",description,마트에서 빨간 사과를 샀어요,I bought red apples at the mart,マートで赤いりんごを買いました,我在超市买了红苹果,Compré manzanas rojas en el supermercado,사과,apple,りんご,苹果,manzana
daily_hello_greeting,daily,greeting,basic,"casual,social",greeting,안녕하세요? 오늘 날씨가 좋네요,Hello! The weather is nice today,こんにちは！今日はいい天気ですね,你好！今天天气真好,¡Hola! Qué buen día hace hoy,안녕하세요,hello,こんにちは,你好,hola
travel_travel_journey,travel,journey,basic,"casual,travel",description,이번 여름에 부산으로 여행 갈 거예요,I'm going to travel to Busan this summer,今年の夏は釜山に旅行に行く予定です,今年夏天我要去釜山旅行,Este verano voy a viajar a Busan,여행,travel,旅行,旅行,viaje
education_study_learn,education,learning,basic,"casual,school",description,도서관에서 영어를 공부하고 있어요,I'm studying English at the library,図書館で英語を勉強しています,我在图书馆学英语,Estoy estudiando inglés en la biblioteca,공부하다,study,勉強,学习,estudiar
food_eat_consume,food,meal,basic,"casual,home",description,가족들과 함께 저녁을 먹었어요,I had dinner with my family,家族と一緒に夕食を食べました,我和家人一起吃晚饭,Cené con mi familia,먹다,eat,食べる,吃,comer
business_work_labor,business,work,basic,"formal,work",description,매일 아침 9시에 출근해요,I go to work at 9 AM every morning,毎朝9時に出勤します,我每天早上9点上班,Voy al trabajo a las 9 de la mañana todos los días,일하다,work,働く,工作,trabajar
daily_family_relative,daily,family,basic,"casual,home",description,우리 가족은 주말에 함께 시간을 보내요,Our family spends time together on weekends,私たちの家族は週末に一緒に時間を過ごします,我们一家人周末一起度过时光,Nuestra familia pasa tiempo junta los fines de semana,가족,family,家族,家庭,familia
daily_time_duration,daily,time,basic,"casual,home",description,요즘 정말 바빠서 시간이 부족해요,I'm really busy these days and lack time,最近本当に忙しくて時間が足りません,最近真的很忙，时间不够,Últimamente estoy muy ocupado y me falta tiempo,시간,time,時間,时间,tiempo
daily_home_residence,daily,home,basic,"casual,home",description,퇴근 후에 집으로 돌아가서 쉬어요,I go home and rest after work,仕事の後家に帰って休みます,下班后回家休息,Después del trabajo voy a casa a descansar,집,home,家,家,casa
daily_friend_companion,daily,friend,basic,"casual,social",description,오랜만에 친구를 만나서 반가웠어요,It was nice to see my friend after a long time,久しぶりに友達に会えて嬉しかったです,很久没见朋友了，见到他很高兴,Fue agradable ver a mi amigo después de mucho tiempo,친구,friend,友達,朋友,amigo
education_book_reading,education,book,basic,"casual,school",description,새로 산 책이 정말 재미있어요,The book I just bought is really interesting,新しく買った本がとても面白いです,我新买的书真的很有趣,El libro que acabo de comprar es muy interesante,책,book,本,书,libro
travel_car_vehicle,travel,vehicle,basic,"casual,travel",description,내일 친구와 함께 드라이브 갈 예정이에요,I'm planning to go for a drive with my friend tomorrow,明日友達と一緒にドライブに行く予定です,明天打算和朋友一起开车兜风,Mañana planeo ir a dar una vuelta en coche con mi amigo,자동차,car,車,汽车,coche
business_money_currency,business,money,basic,"casual,business",description,이번 달에 용돈을 많이 모았어요,I saved a lot of allowance this month,今月はお小遣いをたくさん貯めました,这个月我攒了很多零花钱,Este mes ahorré mucho dinero de bolsillo,돈,money,お金,钱,dinero
entertainment_music_song,entertainment,music,basic,"casual,entertainment",description,새로 나온 K-pop 노래가 너무 좋아요,I really like the new K-pop song that came out,新しく出たK-popの歌がとても良いです,新出的K-pop歌曲我很喜欢,Me gusta mucho la nueva canción de K-pop que salió,음악,music,音楽,音乐,música
technology_phone_communication,technology,phone,basic,"casual,technology",description,친구에게 문자 메시지를 보냈어요,I sent a text message to my friend,友達にテキストメッセージを送りました,我给朋友发了短信,Le envié un mensaje de texto a mi amigo,전화,phone,電話,电话,teléfono
nature_weather_climate,nature,weather,basic,"casual,nature",description,오늘은 바람도 시원하고 날씨가 완벽해요,Today is perfect with cool wind and great weather,今日は風も涼しくて天気が完璧です,今天风也很凉爽，天气完美,Hoy está perfecto con viento fresco y buen clima,날씨,weather,天気,天气,clima
food_food_meal,food,meal,basic,"casual,home",description,엄마가 만든 김치찌개가 정말 맛있어요,The kimchi stew my mom made is really delicious,お母さんが作ったキムチチゲがとても美味しいです,妈妈做的泡菜汤真的很好吃,El kimchi jjigae que hizo mi mamá está realmente delicioso,음식,food,食べ物,食物,comida
education_school_institution,education,school,basic,"casual,school",description,새 학기가 시작되어서 설레요,I'm excited because the new semester is starting,新学期が始まってワクワクします,新学期开始了，我很兴奋,Estoy emocionado porque empieza el nuevo semestre,학교,school,学校,学校,escuela 