domain,category,difficulty,unicode_emoji,color_theme,situation,purpose,korean_word,korean_pronunciation,korean_definition,korean_part_of_speech,korean_synonyms,korean_antonyms,korean_word_family,korean_compound_words,korean_collocations,english_word,english_pronunciation,english_definition,english_part_of_speech,english_synonyms,english_antonyms,english_word_family,english_compound_words,english_collocations,chinese_word,chinese_pronunciation,chinese_definition,chinese_part_of_speech,chinese_synonyms,chinese_antonyms,chinese_word_family,chinese_compound_words,chinese_collocations,japanese_word,japanese_pronunciation,japanese_definition,japanese_part_of_speech,japanese_synonyms,japanese_antonyms,japanese_word_family,japanese_compound_words,japanese_collocations,representative_korean,representative_english,representative_chinese,representative_japanese
daily,shopping,basic,🛒,#FF6B6B,"casual,shopping",description,쇼핑,sho-ping,물건을 사는 행위,명사,"구매,구입",,"구매,시장","쇼핑몰,쇼핑백","온라인 쇼핑,주말 쇼핑",shopping,/ˈʃɒpɪŋ/,the activity of buying things from shops,noun,"purchasing,buying",,"purchase,market","shopping mall,shopping bag","online shopping,weekend shopping",购物,gòu wù,购买商品的活动,名词,"买东西,采购",,"购买,市场","购物中心,购物袋","网上购物,周末购物",ショッピング,shoppingu,物を買う活動,名詞,"買い物,購入",,"購入,市場","ショッピングモール,ショッピングバッグ","オンラインショッピング,週末のショッピング",나는 주말에 쇼핑을 갑니다.,I go shopping on weekends.,我周末去购物。,週末にショッピングに行きます。
culture,tradition,intermediate,🏛️,#9C27B0,"formal,educational",description,전통,jeon-tong,옛날부터 전해 내려오는 관습이나 문화,명사,"관습,풍습","현대,신식","문화,역사","전통문화,전통음식","한국 전통,전통 보존",tradition,/trəˈdɪʃən/,customs and beliefs passed down through generations,noun,"custom,heritage","modernity,innovation","culture,history","traditional culture,traditional food","Korean tradition,preserve tradition",传统,chuán tǒng,世代相传的习俗和文化,名词,"习俗,风俗","现代,创新","文化,历史","传统文化,传统食物","韩国传统,保护传统",伝統,dentō,代々受け継がれてきた習慣や文化,名詞,"慣習,風習","現代,革新","文化,歴史","伝統文化,伝統料理","韓国の伝統,伝統を保存",한국의 전통 문화를 보존해야 합니다.,We should preserve Korean traditional culture.,我们应该保护韩国传统文化。,韓国の伝統文化を保存すべきです。
daily,greeting,basic,👋,#4CAF50,"polite,social",greeting,안녕,an-nyeong,인사할 때 쓰는 말,명사,"인사,반가움","작별,이별","인사,만남","안녕하세요,안녕히",인사말,hello,/həˈloʊ/,a greeting used when meeting someone,interjection,"hi,greetings","goodbye,farewell","greet,meeting","hello there,say hello","friendly hello,warm hello",你好,nǐ hǎo,见面时的问候语,感叹词,"问候,招呼","再见,告别","问候,见面","你好吗,问好","亲切问候,热情招呼",こんにちは,konnichiwa,人に会った時の挨拶,感動詞,"挨拶,こんばんは","さよなら,別れ","挨拶,出会い","こんにちは,挨拶する","丁寧な挨拶,親しい挨拶",안녕하세요! 만나서 반갑습니다.,Hello! Nice to meet you.,你好！很高兴见到你。,こんにちは！お会いできて嬉しいです。
food,fruit,basic,🍎,#FF5722,"casual,shopping",description,사과,sa-gwa,빨갛고 달콤한 과일,명사,"능금,애플",,"과일,열매","사과나무,사과주스","빨간 사과,달콤한 사과",apple,/ˈæpəl/,a round red or green fruit,noun,"fruit,red fruit",,"fruit,tree","apple tree,apple juice","red apple,sweet apple",苹果,píng guǒ,红色或绿色的圆形水果,名词,"果实,水果",,"水果,果树","苹果树,苹果汁","红苹果,甜苹果",りんご,ringo,赤くて甘い果物,名詞,"果物,フルーツ",,"果実,果樹","りんごの木,りんごジュース","赤いりんご,甘いりんご",이 사과는 정말 달고 맛있어요.,This apple is really sweet and delicious.,这个苹果真的很甜很好吃。,このりんごは本当に甘くて美味しいです。
daily,family,basic,👨‍👩‍👧‍👦,#9C27B0,"home,casual",description,가족,ga-jok,함께 사는 혈연관계의 사람들,명사,"식구,집안","타인,남","친족,혈연","가족여행,가족사진","우리 가족,행복한 가족",family,/ˈfæməli/,a group of people related by blood or marriage,noun,"relatives,household","strangers,outsiders","relation,kinship","family trip,family photo","my family,happy family",家庭,jiā tíng,血缘关系的人组成的群体,名词,"家人,亲属","外人,陌生人","亲戚,血缘","家庭旅行,家庭照片","我的家庭,幸福家庭",家族,kazoku,血縁関係にある人たちの集まり,名詞,"家庭,親族","他人,外部","親戚,血縁","家族旅行,家族写真","私の家族,幸せな家族",우리 가족은 매우 화목합니다.,Our family is very harmonious.,我们家庭非常和睦。,私たちの家族はとても仲が良いです。
business,office,intermediate,💼,#2196F3,"work,formal",description,회의,hoe-ui,여러 사람이 모여 의논하는 것,명사,"모임,상의","단독,개별","논의,협의","회의실,회의록","중요한 회의,긴급 회의",meeting,/ˈmiːtɪŋ/,a gathering of people to discuss something,noun,"conference,discussion","isolation,individual","assembly,gathering","meeting room,meeting minutes","important meeting,urgent meeting",会议,huì yì,多人聚集讨论的活动,名词,"会面,讨论","单独,个人","集会,聚会","会议室,会议记录","重要会议,紧急会议",会議,kaigi,複数の人が集まって話し合うこと,名詞,"ミーティング,討議","単独,個別","話し合い,協議","会議室,議事録","重要な会議,緊急会議",오늘 오후에 중요한 회의가 있습니다.,There is an important meeting this afternoon.,今天下午有重要会议。,今日の午後に重要な会議があります。
education,learning,intermediate,📚,#FF9800,"school,formal",instruction,공부,gong-bu,지식이나 기술을 배우는 것,명사,"학습,수학","놀이,휴식","학문,교육","공부방,공부시간","열심히 공부,집중 공부",study,/ˈstʌdi/,the activity of learning about something,noun,"learning,education","play,rest","knowledge,education","study room,study time","hard study,focused study",学习,xué xí,获得知识或技能的活动,名词,"学问,教育","玩耍,休息","知识,教育","学习室,学习时间","努力学习,专心学习",勉強,benkyō,知識や技術を身につけること,名詞,"学習,教育","遊び,休憩","学問,教育","勉強部屋,勉強時間","一生懸命勉強,集中して勉強",시험을 위해 열심히 공부해야 합니다.,I need to study hard for the exam.,为了考试需要努力学习。,試験のために一生懸命勉強しなければなりません。
health,exercise,basic,🏃‍♂️,#4CAF50,"public,casual",description,운동,un-dong,몸을 움직여 건강을 유지하는 활동,명사,"체육,스포츠","휴식,안정","활동,건강","운동장,운동복","규칙적인 운동,아침 운동",exercise,/ˈeksərsaɪz/,physical activity to stay healthy,noun,"workout,fitness","rest,inactivity","activity,health","exercise field,exercise clothes","regular exercise,morning exercise",运动,yùn dòng,为了健康而进行的身体活动,名词,"体育,锻炼","休息,静止","活动,健康","运动场,运动服","规律运动,晨练",運動,undō,健康のために体を動かすこと,名詞,"体育,スポーツ","休息,安静","活動,健康","運動場,運動着","規則的な運動,朝の運動",건강을 위해 매일 운동을 합니다.,I exercise every day for my health.,为了健康每天都运动。,健康のために毎日運動をします。
travel,transportation,basic,🚗,#607D8B,"travel,casual",description,자동차,ja-dong-cha,엔진으로 움직이는 교통수단,명사,"차,승용차","도보,걸음","교통,차량","자동차보험,자동차정비","새 자동차,빠른 자동차",car,/kɑːr/,a motor vehicle for transportation,noun,"automobile,vehicle","walking,foot","transport,vehicle","car insurance,car repair","new car,fast car",汽车,qì chē,用发动机驱动的交通工具,名词,"车辆,轿车","步行,徒步","交通,车辆","汽车保险,汽车维修","新汽车,快速汽车",自動車,jidōsha,エンジンで動く交通手段,名詞,"車,クルマ","徒歩,歩き","交通,車両","自動車保険,自動車整備","新しい自動車,速い自動車",새로 산 자동차로 여행을 갔습니다.,I went on a trip with my new car.,用新买的汽车去旅行了。,新しく買った自動車で旅行に行きました。
technology,communication,intermediate,📱,#3F51B5,"online,casual",description,휴대폰,hyu-dae-pon,들고 다니며 통화할 수 있는 전화기,명사,"핸드폰,스마트폰","유선전화,집전화","통신,전화","휴대폰케이스,휴대폰번호","새 휴대폰,스마트 휴대폰",phone,/foʊn/,a portable device for making calls,noun,"mobile,smartphone","landline,home phone","communication,telephone","phone case,phone number","new phone,smart phone",手机,shǒu jī,可以随身携带的通讯设备,名词,"移动电话,智能手机","固定电话,座机","通讯,电话","手机壳,手机号码","新手机,智能手机",携帯電話,keitai denwa,持ち運べる通話機器,名詞,"ケータイ,スマホ","固定電話,家の電話","通信,電話","携帯ケース,携帯番号","新しい携帯,スマート携帯",휴대폰으로 친구에게 전화를 걸었습니다.,I called my friend on my phone.,用手机给朋友打电话了。,携帯電話で友達に電話をかけました。
entertainment,music,basic,🎵,#E91E63,"social,casual",emotion,음악,eum-ak,소리로 만든 예술 작품,명사,"노래,멜로디","소음,잡음","예술,소리","음악회,음악가","좋은 음악,클래식 음악",music,/ˈmjuːzɪk/,sounds arranged in a pleasing way,noun,"song,melody","noise,silence","art,sound","music concert,musician","good music,classical music",音乐,yīn yuè,用声音创作的艺术,名词,"歌曲,旋律","噪音,寂静","艺术,声音","音乐会,音乐家","好音乐,古典音乐",音楽,ongaku,音で作られた芸術作品,名詞,"歌,メロディー","騒音,静寂","芸術,音","音楽会,音楽家","良い音楽,クラシック音楽",아름다운 음악을 들으며 휴식을 취했습니다.,I relaxed while listening to beautiful music.,听着美丽的音乐休息了。,美しい音楽を聞きながら休憩しました。
daily,routine,basic,⏰,#4CAF50,"casual,home",description,아침,a-chim,하루가 시작되는 시간,명사,"새벽,조간","저녁,밤","시간,일과","아침식사,아침운동","상쾌한 아침,이른 아침",morning,/ˈmɔːrnɪŋ/,the early part of the day,noun,"dawn,daybreak","evening,night","time,daily","morning exercise,morning coffee","early morning,fresh morning",早晨,zǎo chén,一天开始的时间,名词,"清晨,上午","晚上,夜晚","时间,日程","早晨锻炼,早餐","清爽的早晨,早起",朝,asa,一日の始まりの時間,名詞,"朝方,午前","夕方,夜","時間,日課","朝の運動,朝食","爽やかな朝,早朝",오늘 아침 일찍 일어났어요.,I got up early this morning.,今天早晨我起得很早。,今朝早く起きました。
daily,communication,basic,📞,#FF9800,"casual,work",request,전화,jeon-hwa,멀리 있는 사람과 말하는 기계,명사,"통화,콜","편지,문자","연락,소통","전화기,전화번호","긴급 전화,국제 전화",phone,/foʊn/,device for speaking to someone far away,noun,"telephone,call","letter,text","communication,contact","phone number,phone call","emergency phone,mobile phone",电话,diàn huà,与远方的人通话的设备,名词,"通话,电话机","信件,短信","联系,沟通","电话号码,电话机","紧急电话,手机",電話,denwa,遠くの人と話すための機器,名詞,"通話,テレフォン","手紙,メール","連絡,コミュニケーション","電話番号,電話機","緊急電話,携帯電話",엄마에게 전화를 걸었어요.,I called my mom.,我给妈妈打了电话。,お母さんに電話をかけました。
daily,time,basic,🕐,#2196F3,"casual,formal",question,시간,si-gan,언제인지를 나타내는 것,명사,"때,순간","영원,무한","시각,일정","시간표,시계","소중한 시간,바쁜 시간",time,/taɪm/,when something happens,noun,"moment,hour","eternity,forever","schedule,timing","timetable,clock","precious time,busy time",时间,shí jiān,什么时候发生的概念,名词,"时刻,时候","永恒,无限","时刻,日程","时间表,时钟","宝贵时间,忙碌时间",時間,jikan,いつかを表すもの,名詞,"時刻,とき","永遠,無限","スケジュール,タイミング","時間割,時計","大切な時間,忙しい時間",지금 몇 시예요?,What time is it now?,现在几点了？,今何時ですか？
daily,clothing,basic,👕,#E91E63,"casual,shopping",description,옷,ot,몸에 입는 것,명사,"의복,의류","벗음,나체","패션,스타일","옷장,옷가게","예쁜 옷,따뜻한 옷",clothes,/kloʊðz/,things you wear on your body,noun,"clothing,garments","nakedness,bare","fashion,style","wardrobe,clothing store","beautiful clothes,warm clothes",衣服,yī fu,穿在身上的东西,名词,"服装,服饰","裸体,赤身","时尚,风格","衣柜,服装店","漂亮衣服,温暖衣服",服,fuku,体に着るもの,名詞,"衣服,衣類","裸,素肌","ファッション,スタイル","クローゼット,洋服店","きれいな服,暖かい服",새 옷을 샀어요.,I bought new clothes.,我买了新衣服。,新しい服を買いました。
daily,emotions,basic,😊,#FFC107,"casual,social",emotion,행복,haeng-bok,기쁘고 즐거운 마음,명사,"기쁨,즐거움","슬픔,불행","감정,마음","행복감,행복한","진정한 행복,소소한 행복",happiness,/ˈhæpɪnəs/,feeling of joy and pleasure,noun,"joy,delight","sadness,sorrow","emotion,feeling","joyfulness,bliss","true happiness,simple happiness",幸福,xìng fú,快乐愉悦的心情,名词,"快乐,喜悦","悲伤,不幸","情感,心情","幸福感,愉快","真正的幸福,简单的幸福",幸せ,shiawase,嬉しく楽しい気持ち,名詞,"喜び,楽しさ","悲しみ,不幸","感情,気持ち","幸福感,喜び","本当の幸せ,小さな幸せ",가족과 함께 있으면 행복해요.,I'm happy when I'm with my family.,和家人在一起很幸福。,家族と一緒にいると幸せです。
daily,personal_care,basic,🧼,#00BCD4,"casual,home",instruction,씻다,ssit-da,몸을 깨끗하게 하다,동사,"닦다,청소하다","더럽히다,오염시키다","청결,위생","세수,목욕","깨끗이 씻다,잘 씻다",wash,/wɑːʃ/,to clean with water,verb,"clean,rinse","dirty,soil","hygiene,cleanliness","face wash,bath","wash thoroughly,wash well",洗,xǐ,用水清洁,动词,"清洗,冲洗","弄脏,污染","卫生,清洁","洗脸,洗澡","彻底清洗,好好洗",洗う,arau,水できれいにする,動詞,"清める,すすぐ","汚す,汚染する","衛生,清潔","洗顔,入浴","きれいに洗う,よく洗う",손을 깨끗이 씻으세요.,Wash your hands clean.,请把手洗干净。,手をきれいに洗ってください。
food,vegetable,basic,🥕,#FF5722,"casual,shopping",description,당근,dang-geun,주황색의 뿌리 채소,명사,"홍당무,캐럿",,"채소,뿌리","당근주스,당근케이크","신선한 당근,달콤한 당근",carrot,/ˈkærət/,orange root vegetable,noun,"orange vegetable,root",,"vegetable,root","carrot juice,carrot cake","fresh carrot,sweet carrot",胡萝卜,hú luó bo,橙色的根茎蔬菜,名词,"红萝卜,胡萝卜",,"蔬菜,根茎","胡萝卜汁,胡萝卜蛋糕","新鲜胡萝卜,甜胡萝卜",人参,ninjin,オレンジ色の根菜,名詞,"キャロット,根菜",,"野菜,根っこ","人参ジュース,人参ケーキ","新鮮な人参,甘い人参",당근을 잘게 썰어 주세요.,Please chop the carrots finely.,请把胡萝卜切细。,人参を細かく切ってください。
food,meat,basic,🥩,#8BC34A,"casual,shopping",description,고기,go-gi,동물의 살,명사,"육류,정육","채소,야채","단백질,음식","고기집,고기요리","신선한 고기,맛있는 고기",meat,/miːt/,flesh of animals used as food,noun,"flesh,protein","vegetables,plants","protein,food","meat shop,meat dish","fresh meat,delicious meat",肉,ròu,动物的肉,名词,"肉类,荤菜","蔬菜,素食","蛋白质,食物","肉店,肉菜","新鲜的肉,美味的肉",肉,niku,動物の肉,名詞,"肉類,タンパク質","野菜,植物","タンパク質,食べ物","肉屋,肉料理","新鮮な肉,美味しい肉",고기를 구워서 먹어요.,I grill and eat meat.,我烤肉吃。,肉を焼いて食べます。
food,drink,basic,🥛,#03A9F4,"casual,home",request,우유,u-yu,소에서 나오는 흰 음료,명사,"밀크,젖","물,차","음료,유제품","우유병,우유팩","신선한 우유,따뜻한 우유",milk,/mɪlk/,white liquid from cows,noun,"dairy,liquid","water,juice","beverage,dairy","milk bottle,milk carton","fresh milk,warm milk",牛奶,niú nǎi,从牛身上获得的白色饮料,名词,"奶,乳制品","水,茶","饮料,乳品","牛奶瓶,牛奶盒","新鲜牛奶,温牛奶",牛乳,gyūnyū,牛から出る白い飲み物,名詞,"ミルク,乳製品","水,お茶","飲み物,乳製品","牛乳瓶,牛乳パック","新鮮な牛乳,温かい牛乳",우유 한 잔 주세요.,Please give me a glass of milk.,请给我一杯牛奶。,牛乳を一杯ください。
food,grain,basic,🍚,#FFC107,"casual,home",description,쌀,ssal,밥을 만드는 곡물,명사,"벼,미곡","밀,보리","곡물,주식","쌀밥,쌀가루","맛있는 쌀,좋은 쌀",rice,/raɪs/,grain used to make food,noun,"grain,cereal","wheat,barley","food,staple","cooked rice,rice flour","delicious rice,good rice",米,mǐ,做饭用的谷物,名词,"大米,稻米","小麦,大麦","谷物,主食","米饭,米粉","好吃的米,优质米",米,kome,ご飯を作る穀物,名詞,"お米,穀物","小麦,大麦","穀物,主食","ご飯,米粉","美味しい米,良い米",쌀로 밥을 지어요.,I cook rice with rice grains.,用米做饭。,米でご飯を炊きます。
technology,computer,basic,💻,#2196F3,"casual,work",description,노트북,no-teu-buk,들고 다닐 수 있는 컴퓨터,명사,"랩톱,포터블","데스크톱,고정형","기기,장치","노트북가방,노트북충전기","새 노트북,가벼운 노트북",laptop,/ˈlæptɑːp/,portable computer,noun,"notebook,portable","desktop,stationary","device,equipment","laptop bag,laptop charger","new laptop,light laptop",笔记本电脑,bǐ jì běn diàn nǎo,可以携带的电脑,名사,"便携电脑,手提电脑","台式机,固定式","设备,装置","笔记本包,笔记本充电器","新笔记本,轻便笔记本",ノートパソコン,nōto pasokon,持ち運べるコンピュータ,名詞,"ラップトップ,ポータブル","デスクトップ,固定型","機器,装置","ノートパソコンバッグ,充電器","新しいノートパソコン,軽いノートパソコン",노트북으로 일해요.,I work with a laptop.,我用笔记本电脑工作。,ノートパソコンで仕事をします。
technology,internet,basic,🌐,#00BCD4,"casual,work",description,인터넷,in-teo-net,전 세계가 연결된 통신망,명사,"네트워크,웹","오프라인,단절","시스템,통신","인터넷카페,인터넷쇼핑","빠른 인터넷,무선 인터넷",internet,/ˈɪntərnet/,worldwide communication network,noun,"network,web","offline,disconnected","system,communication","internet cafe,internet shopping","fast internet,wireless internet",互联网,hù lián wǎng,全世界连接的通信网,名词,"网络,网页","离线,断开","系统,通信","网吧,网购","快速互联网,无线互联网",インターネット,intānetto,全世界がつながった通信網,名詞,"ネットワーク,ウェブ","オフライン,切断","システム,通信","インターネットカフェ,ネットショッピング","速いインターネット,無線インターネット",인터넷으로 정보를 찾아요.,I search for information on the internet.,我在互联网上查找信息。,インターネットで情報を探します。
entertainment,movie,basic,🎬,#E91E63,"casual,social",description,영화,yeong-hwa,스크린으로 보는 이야기,명사,"필름,시네마","책,소설","매체,작품","영화관,영화표","재미있는 영화,새로운 영화",movie,/ˈmuːvi/,story shown on screen,noun,"film,cinema","book,novel","media,work","movie theater,movie ticket","interesting movie,new movie",电影,diàn yǐng,在屏幕上看的故事,名词,"影片,电影院","书,小说","媒体,作品","电影院,电影票","有趣电影,新电影",映画,eiga,スクリーンで見る物語,名詞,"フィルム,シネマ","本,小説","メディア,作品","映画館,映画チケット","面白い映画,新しい映画",어제 영화를 봤어요.,I watched a movie yesterday.,我昨天看了电影。,昨日映画を見ました。
travel,accommodation,basic,🏨,#FF5722,"formal,travel",request,호텔,ho-tel,여행객이 머무는 곳,명사,"숙박시설,여관","집,가정","건물,시설","호텔방,호텔예약","좋은 호텔,고급 호텔",hotel,/hoʊˈtel/,place where travelers stay,noun,"accommodation,lodging","home,house","building,facility","hotel room,hotel reservation","good hotel,luxury hotel",酒店,jiǔ diàn,旅行者住宿的地方,名词,"旅馆,住宿","家,住宅","建筑,设施","酒店房间,酒店预订","好酒店,豪华酒店",ホテル,hoteru,旅行者が泊まる場所,名詞,"旅館,宿泊","家,住宅","建物,施設","ホテルの部屋,ホテル予約","良いホテル,高級ホテル",호텔을 예약했어요.,I booked a hotel.,我预订了酒店。,ホテルを予約しました。
travel,sightseeing,basic,🗺️,#9C27B0,"casual,travel",description,관광,gwan-gwang,구경하며 즐기는 것,명사,"여행,구경","일,바깥일","활동,여가","관광지,관광객","즐거운 관광,해외 관광",sightseeing,/ˈsaɪtsiɪŋ/,visiting interesting places,noun,"tourism,touring","work,business","activity,leisure","tourist spot,tourist","enjoyable sightseeing,overseas sightseeing",观光,guān guāng,游览观赏,名词,"旅游,游览","工作,上班","活动,娱乐","观光地,观光客","愉快观光,海外观光",観光,kankō,見物して楽しむこと,名詞,"旅行,見学","仕事,勤務","活動,レジャー","観光地,観光客","楽しい観光,海外観光",서울로 관광갔어요.,I went sightseeing in Seoul.,我去首尔观光了。,ソウルに観光に行きました。
health,exercise,basic,🏃,#4CAF50,"casual,home",instruction,달리기,dal-li-gi,빠르게 뛰는 것,명사,"조깅,달음","걷기,정지","운동,활동","달리기코스,마라톤","아침 달리기,건강한 달리기",running,/ˈrʌnɪŋ/,moving fast on foot,noun,"jogging,sprint","walking,stopping","exercise,activity","running course,marathon","morning running,healthy running",跑步,pǎo bù,快速奔跑,명사,"慢跑,冲跑","步行,停止","运动,活动","跑步道,马拉松","晨跑,健康跑步",走る,hashiru,速く走ること,名詞,"ジョギング,スプリント","歩く,止まる","運動,活動","ランニングコース,マラソン","朝のランニング,健康的なランニング",매일 아침 달리기를 해요.,I run every morning.,我每天早晨跑步。,毎日朝ランニングをします。
health,medicine,intermediate,💊,#FF5722,"formal,medical",description,약,yak,병을 고치는 물질,명사,"의약품,치료제","독,해로운것","물질,치료","약국,약사","좋은 약,효과적인 약",medicine,/ˈmedɪsən/,substance that cures illness,noun,"medication,drug","poison,harmful","substance,treatment","pharmacy,pharmacist","good medicine,effective medicine",药,yào,治疗疾病的物质,名词,"药物,药品","毒,有害","物质,治疗","药店,药师","好药,有效药",薬,kusuri,病気を治す物質,名詞,"医薬品,治療薬","毒,有害なもの","物質,治療","薬局,薬剤師","良い薬,効果的な薬",감기약을 먹었어요.,I took cold medicine.,我吃了感冒药。,風邪薬を飲みました。
culture,tradition,basic,🏮,#FF5722,"formal,cultural",description,문화,mun-hwa,한 민족의 생활 양식,명사,"전통,관습","자연,본능","양식,형태","문화재,문화센터","한국 문화,전통 문화",culture,/ˈkʌltʃər/,way of life of a people,noun,"tradition,custom","nature,instinct","style,form","cultural asset,cultural center","Korean culture,traditional culture",文化,wén huà,一个民族的生活方式,名词,"传统,习俗","自然,本能","样式,形态","文化遗产,文化中心","韩国文化,传统文化",文化,bunka,一つの民族の生活様式,名詞,"伝統,習慣","自然,本能","様式,形態","文化財,文化センター","韓国文化,伝統文化",한국 문화를 배우고 있어요.,I'm learning Korean culture.,我在学习韩国文化。,韓国文化を習っています。
